,year,month,unrate,Latin
0,2009,12,9.7,0
1,2009,12,9.7,0
2,2009,12,9.7,0
3,2009,12,9.7,0
4,2009,12,9.7,0
5,2009,12,9.7,0
6,2009,12,9.7,0
7,2009,12,9.7,0
8,2009,12,9.7,0
9,2009,12,9.7,0
10,2009,12,9.7,0
11,2009,12,9.7,0
12,2010,12,9.1,0
13,2010,12,9.1,0
14,2010,12,9.1,0
15,2010,12,9.1,0
16,2010,12,9.1,0
17,2010,12,9.1,0
18,2010,12,9.1,0
19,2010,12,9.1,0
20,2010,12,9.1,0
21,2010,12,9.1,0
22,2010,12,9.1,0
23,2010,12,9.1,0
24,2011,12,8.3,0
25,2011,12,8.3,0
26,2011,12,8.3,0
27,2011,12,8.3,0
28,2011,12,8.3,0
29,2011,12,8.3,0
30,2011,12,8.3,0
31,2011,12,8.3,0
32,2011,12,8.3,0
33,2011,12,8.3,0
34,2011,12,8.3,0
35,2011,12,8.3,0
36,2012,12,7.6,0
37,2012,12,7.6,0
38,2012,12,7.6,0
39,2012,12,7.6,0
40,2012,12,7.6,0
41,2012,12,7.6,0
42,2012,12,7.6,0
43,2012,12,7.6,0
44,2012,12,7.6,0
45,2012,12,7.6,0
46,2012,12,7.6,0
47,2012,12,7.6,0
48,2009,12,9.7,1
49,2010,12,9.1,1
50,2010,12,9.1,1
51,2011,12,8.3,No
52,2011,12,8.3,No
53,2011,12,8.3,1
54,2011,12,8.3,1
55,2011,12,8.3,1
56,2011,12,8.3,1
57,2011,12,8.3,1
58,2011,12,8.3,1
59,2011,12,8.3,1
60,2012,12,7.6,No
61,2012,12,7.6,No
62,2012,12,7.6,No
63,2012,12,7.6,No
64,2012,12,7.6,No
65,2012,12,7.6,1
66,2012,12,7.6,1
67,2012,12,7.6,1
68,2012,12,7.6,1
69,2012,12,7.6,1
70,2012,12,7.6,1
71,2012,12,7.6,1
72,2012,12,7.6,1
73,2012,12,7.6,1
74,2012,12,7.6,1
75,2009,11,9.4,0
76,2009,11,9.4,0
77,2009,11,9.4,0
78,2009,11,9.4,0
79,2009,11,9.4,0
80,2009,11,9.4,0
81,2009,11,9.4,0
82,2009,11,9.4,0
83,2009,11,9.4,0
84,2009,11,9.4,0
85,2009,11,9.4,0
86,2009,11,9.4,0
87,2010,11,9.3,0
88,2010,11,9.3,0
89,2010,11,9.3,0
90,2010,11,9.3,0
91,2010,11,9.3,0
92,2010,11,9.3,0
93,2010,11,9.3,0
94,2010,11,9.3,0
95,2010,11,9.3,0
96,2010,11,9.3,0
97,2010,11,9.3,0
98,2010,11,9.3,0
99,2011,11,8.2,0
100,2011,11,8.2,0
101,2011,11,8.2,0
102,2011,11,8.2,0
103,2011,11,8.2,0
104,2011,11,8.2,0
105,2011,11,8.2,0
106,2011,11,8.2,0
107,2011,11,8.2,0
108,2011,11,8.2,0
109,2011,11,8.2,0
110,2011,11,8.2,0
111,2012,11,7.4,0
112,2012,11,7.4,0
113,2012,11,7.4,0
114,2012,11,7.4,0
115,2012,11,7.4,0
116,2012,11,7.4,0
117,2012,11,7.4,0
118,2012,11,7.4,0
119,2012,11,7.4,0
120,2012,11,7.4,0
121,2012,11,7.4,0
122,2012,11,7.4,0
123,2009,11,9.4,1
124,2010,11,9.3,1
125,2010,11,9.3,1
126,2011,11,8.2,No
127,2011,11,8.2,No
128,2011,11,8.2,1
129,2011,11,8.2,1
130,2011,11,8.2,1
131,2011,11,8.2,1
132,2011,11,8.2,1
133,2011,11,8.2,1
134,2011,11,8.2,1
135,2012,11,7.4,No
136,2012,11,7.4,No
137,2012,11,7.4,No
138,2012,11,7.4,No
139,2012,11,7.4,No
